Breed,Breed Group,Height,Weight,Life Expectancy
Affenpinscher,TOY GROUP,9-11.5,7-10,12-15
Afghan Hound,HOUND GROUP,25-27,50-60,12-18
Airedale Terrier,TERRIER GROUP,23,50-70,11-14
Akita,WORKING GROUP,26-28,100-130,10-14
Alaskan Klee Kai,FOUNDATION STOCK SERVICE,12 - 17,6 - 25 lbs,13-16
Alaskan Malamute,WORKING GROUP,25,85,10-14
American Bulldog,FOUNDATION STOCK SERVICE,22-25 (males); 20-23 (females),75-100 (males); 60-80 (females),10-12
American English Coonhound,HOUND GROUP,24-26,45-65,11-12
American Eskimo Dog,NON-SPORTING GROUP,9-12 (toy),6-10 (toy),13-15
American Foxhound,HOUND GROUP,22-25,65-70,11-13
American Hairless Terrier,TERRIER GROUP,12-16,12-28,14-16
American Leopard Hound,FOUNDATION STOCK SERVICE,22 - 27 males,45 - 75 lbs males,12-15
American Staffordshire Terrier,TERRIER GROUP,18-19,55-70,12-16
American Water Spaniel,SPORTING GROUP,15-18,30-45,10-14
Anatolian Shepherd Dog,WORKING GROUP,29,110-150,11-13
Appenzeller Sennenhund,FOUNDATION STOCK SERVICE,20 -22,48-70,13-15
Australian Cattle Dog,HERDING GROUP,18-20,35-50,12-16
Australian Kelpie,FOUNDATION STOCK SERVICE,17-20,35-50 lbs,10-13
Australian Shepherd,HERDING GROUP,20-23,50-65,12-15
Australian Stumpy Tail Cattle Dog,FOUNDATION STOCK SERVICE,18-20 (males),38-45 lbs (males),12-15
Australian Terrier,TERRIER GROUP,10-11,15-20,11-15
Azawakh,HOUND GROUP,25-29,44-55,12-15
Barbado da Terceira,FOUNDATION STOCK SERVICE,20 1/2 - 22 (males),55-60 lbs (males),12-14
Barbet,SPORTING GROUP,19-24.5,35-65,12-14
Basenji,HOUND GROUP,17,24,13-14
Basset Fauve de Bretagne,MISCELLANEOUS CLASS,12.5-15.5,23-39,13-16
Basset Hound,HOUND GROUP,up to 15,40-65,12-13
Bavarian Mountain Scent Hound,FOUNDATION STOCK SERVICE,17-20.5,37-66,12-15
Beagle,HOUND GROUP,13 & under,under 20 (13 inches & under),10-15
Bearded Collie,HERDING GROUP,21-22,45-55,12-14
Beauceron,HERDING GROUP,25.5-27.5,70-110,10-12
Bedlington Terrier,TERRIER GROUP,15-17.5,17-23,11-16
Belgian Laekenois,HERDING GROUP,24-26,55-65,10-12
Belgian Malinois,HERDING GROUP,24-26,60-80,14-16
Belgian Sheepdog,HERDING GROUP,24-26,55-75,12-14
Belgian Tervuren,HERDING GROUP,24-26,55-75,12-14
Bergamasco Sheepdog,HERDING GROUP,23.5,70-84,13-15
Berger Picard,HERDING GROUP,23.5-25.5,50-70,12-13
Bernese Mountain Dog,WORKING GROUP,25-27.5,80-115,7-10
Bichon Frise,NON-SPORTING GROUP,9.5-11.5,12-18,14-15
Biewer Terrier,TOY GROUP,7-11,4-8,16
Black and Tan Coonhound,HOUND GROUP,25-27,65-110,10-12
Black Russian Terrier,WORKING GROUP,27-30,80-130,10-12
Bloodhound,HOUND GROUP,25-27,90-110,10-12
Blue Picardy Spaniel,FOUNDATION STOCK SERVICE,22 - 24 male,50-55 lbs males,11-12
